-32 -192 15984
-112 -80 16128
-128 -96 15504
-256 -128 15872
-96 -128 16016
0 -128 15600
-48 -80 15696
64 -176 15904
-160 0 15968
-368 -160 15872
-16 -64 15280
-80 -112 15872
-16 -96 15616
-112 -64 16208
48 -80 15616
-32 -96 16192
-96 -80 15648
-32 -80 16352
-80 -128 15600
-64 -128 15808
64 -240 15648
-384 -112 15984
-48 -144 15392
-48 -144 15856
-64 -80 15904
-160 -144 15808
64 -176 15824
176 -160 15584
-64 -112 15456
-48 -144 15856
-112 -224 15664
16 -160 16128
-160 -160 15664
224 -112 16128
-96 -208 16112
-96 -80 16368
-64 -208 15744
48 -240 16080
-128 -128 15648
240 -144 15696
-32 -256 15936
-48 -144 15680
-32 -176 15840
-96 -192 15744
-160 -144 15680
48 -208 15744
192 -128 15680
-80 -256 16176
-32 -96 16272
-96 -112 15776
-96 -112 15696
-192 -64 15760
176 -256 15696
-32 -272 16256
-64 -224 15968
-112 0 15600
-64 -96 15856
192 -128 16128
-96 -240 15584
-96 -176 15936
-80 -128 15408
-64 -144 15632
-48 -208 15808
144 -160 16032
-80 -32 15872
-80 -80 15920
-16 -48 15968
-32 -192 16256
-32 -128 15936
-128 -128 16080
32 -112 15648
-256 -160 15680
-64 -112 15664
-96 -96 15376
-80 -112 15696
-64 -224 16320
80 -192 16080
-80 -96 16048
32 -192 15696
-32 -80 15728
-96 -144 15968
-224 -144 16128
-192 32 15392
-32 -176 15712
-48 -128 16064
-96 -176 15456
-48 -208 16288
-16 -176 15936
-32 -96 15920
-48 -176 15696
464 -16 15696
-64 -144 15600
-80 -144 15824
16 -96 15344
-80 -48 16080
0 -160 15680
-368 -240 15904
-48 -128 15872
-48 -144 15712
-48 -64 15856
-48 -160 15792
-64 -208 15872
48 -192 15856
-80 -224 15792
0 -96 15488
-80 -160 15440
-80 -96 15424
-16 -144 16144
-240 16 16016
192 -128 15824
-64 -96 15104
-64 -144 15776
-80 -224 15856
-176 -144 15808
-240 -80 15968
